"Module","FE APIs","BE Implemented","Create %","Read %","Update %","Delete %","Coverage Score"
"Customer","150","20","27%","8%","25%","36%","13%"
"Contact","40","21","67%","45%","80%","63%","53%"
"Campaign","79","31","35%","33%","37%","46%","39%"
"Opportunity","34","20","60%","44%","75%","80%","59%"
"Ticket","18","16","100%","71%","100%","100%","89%"
"Warranty","26","19","75%","67%","75%","100%","73%"
"BPM","361","13","6%","3%","6%","6%","4%"
"Notification","8","6","100%","67%","100%","100%","75%"
"Employee","54","12","17%","19%","20%","25%","22%"
"Role","26","9","29%","50%","29%","40%","35%"
"Department","10","9","100%","100%","100%","100%","90%"
