"method","path","controller","handler","file"
"GET","/bpmapi/approvalDefinition/list","BpmApprovalController","listDefinitions","be/src/modules/bpm/approval/bpm-approval.controller.ts"
"POST","/bpmapi/approvalDefinition/update","BpmApprovalController","upsertDefinition","be/src/modules/bpm/approval/bpm-approval.controller.ts"
"DELETE","/bpmapi/approvalDefinition/delete","BpmApprovalController","deleteDefinition","be/src/modules/bpm/approval/bpm-approval.controller.ts"
"GET","/bpmapi/approval/list","BpmApprovalController","ApiOperation","be/src/modules/bpm/approval/bpm-approval.controller.ts"
"POST","/bpmapi/approval/approve","BpmApprovalController","ApiOperation","be/src/modules/bpm/approval/bpm-approval.controller.ts"
"POST","/bpmapi/approval/reject","BpmApprovalController","ApiOperation","be/src/modules/bpm/approval/bpm-approval.controller.ts"
"GET","/bpmapi/businessRule/list","BusinessRuleController","ApiOperation","be/src/modules/bpm/business-rule/business-rule.controller.ts"
"GET","/bpmapi/businessRule/detail","BusinessRuleController","getById","be/src/modules/bpm/business-rule/business-rule.controller.ts"
"POST","/bpmapi/businessRule/update","BusinessRuleController","upsert","be/src/modules/bpm/business-rule/business-rule.controller.ts"
"POST","/bpmapi/businessRule/updateActive","BusinessRuleController","updateActive","be/src/modules/bpm/business-rule/business-rule.controller.ts"
"DELETE","/bpmapi/businessRule/delete","BusinessRuleController","delete","be/src/modules/bpm/business-rule/business-rule.controller.ts"
"GET","/bpmapi/businessRuleItem/list","BusinessRuleController","listItems","be/src/modules/bpm/business-rule/business-rule.controller.ts"
"POST","/bpmapi/businessRuleItem/update","BusinessRuleController","upsertItem","be/src/modules/bpm/business-rule/business-rule.controller.ts"
"POST","/bpmapi/businessRuleItem/updateActive","BusinessRuleController","updateItemActive","be/src/modules/bpm/business-rule/business-rule.controller.ts"
"DELETE","/bpmapi/businessRuleItem/delete","BusinessRuleController","deleteItem","be/src/modules/bpm/business-rule/business-rule.controller.ts"
"GET","/bpmapi/instance/list","BpmInstanceController","ApiOperation","be/src/modules/bpm/instance/bpm-instance.controller.ts"
"GET","/bpmapi/instance/get","BpmInstanceController","ApiOperation","be/src/modules/bpm/instance/bpm-instance.controller.ts"
"POST","/bpmapi/instance/start","BpmInstanceController","ApiOperation","be/src/modules/bpm/instance/bpm-instance.controller.ts"
"POST","/bpmapi/task/claim","BpmInstanceController","ApiOperation","be/src/modules/bpm/instance/bpm-instance.controller.ts"
"POST","/bpmapi/task/complete","BpmInstanceController","ApiOperation","be/src/modules/bpm/instance/bpm-instance.controller.ts"
"GET","/bpmapi/instance/history","BpmInstanceController","ApiOperation","be/src/modules/bpm/instance/bpm-instance.controller.ts"
"GET","/bpmapi/instance/kanban","BpmInstanceController","ApiOperation","be/src/modules/bpm/instance/bpm-instance.controller.ts"
"GET","/bpmapi/task/my","BpmInstanceController","ApiOperation","be/src/modules/bpm/instance/bpm-instance.controller.ts"
"POST","/bpmapi/kafka/activateProcess","BpmInstanceController","ApiOperation","be/src/modules/bpm/instance/bpm-instance.controller.ts"
"POST","/bpmapi/kafka/activate/receiveTask","BpmInstanceController","ApiOperation","be/src/modules/bpm/instance/bpm-instance.controller.ts"
"GET","/bpmapi/process/list","BpmTemplateController","ApiOperation","be/src/modules/bpm/template/bpm-template.controller.ts"
"GET","/bpmapi/process/get","BpmTemplateController","ApiOperation","be/src/modules/bpm/template/bpm-template.controller.ts"
"POST","/bpmapi/process/create","BpmTemplateController","ApiOperation","be/src/modules/bpm/template/bpm-template.controller.ts"
"POST","/bpmapi/process/update","BpmTemplateController","ApiOperation","be/src/modules/bpm/template/bpm-template.controller.ts"
"POST","/bpmapi/process/graph","BpmTemplateController","ApiOperation","be/src/modules/bpm/template/bpm-template.controller.ts"
"POST","/bpmapi/process/publish","BpmTemplateController","ApiOperation","be/src/modules/bpm/template/bpm-template.controller.ts"
"DELETE","/bpmapi/process/delete","BpmTemplateController","ApiOperation","be/src/modules/bpm/template/bpm-template.controller.ts"
"GET","/bpmapi/workOrder/list","BpmWorkOrderController","ApiOperation","be/src/modules/bpm/work-order/bpm-work-order.controller.ts"
"GET","/bpmapi/workOrder/get","BpmWorkOrderController","ApiOperation","be/src/modules/bpm/work-order/bpm-work-order.controller.ts"
"POST","/bpmapi/workOrder/create","BpmWorkOrderController","ApiOperation","be/src/modules/bpm/work-order/bpm-work-order.controller.ts"
"POST","/bpmapi/workOrder/update","BpmWorkOrderController","ApiOperation","be/src/modules/bpm/work-order/bpm-work-order.controller.ts"
"DELETE","/bpmapi/workOrder/delete","BpmWorkOrderController","ApiOperation","be/src/modules/bpm/work-order/bpm-work-order.controller.ts"
"POST","/bpmapi/workOrder/exchange/add","BpmWorkOrderController","ApiOperation","be/src/modules/bpm/work-order/bpm-work-order.controller.ts"
"DELETE","/bpmapi/workOrder/exchange/delete","BpmWorkOrderController","ApiOperation","be/src/modules/bpm/work-order/bpm-work-order.controller.ts"
"GET","/adminapi/campaign/list","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
"GET","/adminapi/campaign/list/view_sale","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
"GET","/adminapi/campaign/get","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
"POST","/adminapi/campaign/update","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
"POST","/adminapi/campaign/update/status","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
"DELETE","/adminapi/campaign/delete","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
"POST","/adminapi/campaign/sla-config","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
"GET","/adminapi/campaignSale/list","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
"GET","/adminapi/campaignApproach/list","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
"GET","/adminapi/campaignApproach/get","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
"POST","/adminapi/campaignApproach/update","CampaignController","ApiOperation","be/src/modules/crm/campaign/campaign.controller.ts"
