"Module","Service","Function","Endpoint","Create DTO","Update DTO","Detail DTO","List DTO","Filter DTO","Fields"
"Adjustments","AdjustmentsService","submit","POST urlsApi.adjustments.submit","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","list","GET /adminapi/approval/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Approval","ApprovalService","update","POST /adminapi/approval/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","delete","DELETE /adminapi/approval/delete","","","","","",""
"Approval","ApprovalService","updateStatus","POST /adminapi/approval/update/status","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean required<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","lstConfig","GET /adminapi/approvalConfig/list","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","updateConfig","POST /adminapi/approvalConfig/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","deleteConfig","DELETE /adminapi/approvalConfig/delete","","","","","",""
"Approval","ApprovalService","lstLink","GET /adminapi/approvalLink/list","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","updateLink","POST /adminapi/approvalLink/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","deleteLink","DELETE /adminapi/approvalLink/delete","","","","","",""
"Approval","ApprovalService","lstObject","GET /adminapi/approvalObject/list","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","takeObject","GET /adminapi/approvalObject/get/object","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","checkApproved","GET /adminapi/approvalObject/checkApproved","","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","updateObject","POST /adminapi/approvalObject/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","deleteObject","DELETE /adminapi/approvalObject/delete","","","","","",""
"Approval","ApprovalService","lstLog","GET /adminapi/approvalLog/list","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","updateLog","POST /adminapi/approvalLog/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Approval","ApprovalService","deleteLog","DELETE /adminapi/approvalLog/delete","","","","","",""
"Approval","ApprovalService","updateAlert","POST /adminapi/approval/update/alertConfig","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"ApprovedObject","ApprovedObjectService","list","GET /bpmapi/approvedObjectLog/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Area","AreaService","list","GET /api/area/child","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Artifact","ArtifactService","list","GET /adminapi/common/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Artifact","ArtifactService","update","POST /adminapi/common/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Artifact","ArtifactService","detail","GET /bpmapi/common/get","","","Query DTO: id required.","","",""
"Artifact","ArtifactService","delete","DELETE /adminapi/common/delete","","","","","",""
"BeautyBranch","BeautyBranchService","list","GET /adminapi/beautyBranch/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BeautyBranch","BeautyBranchService","childList","GET /adminapi/beautyBranch/child","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BeautyBranch","BeautyBranchService","update","POST /adminapi/beautyBranch/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BeautyBranch","BeautyBranchService","delete","DELETE /adminapi/beautyBranch/delete","","","","","",""
"BeautyBranch","BeautyBranchService","getByBeauty","GET urlsApi.beautyBranch.getByBeauty","","","Query DTO: id required.","","",""
"BeautyBranch","BeautyBranchService","detail","GET /adminapi/beautyBranch/get","","","Query DTO: id required.","","",""
"BeautyBranch","BeautyBranchService","getBeautyBranchByCode","GET /adminapi/beautyBranch/get/byCode","","","Query DTO: id required.","","","id:number|string required<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BeautyBranch","BeautyBranchService","unActivate","POST /adminapi/beautyBranch/update/deactivate","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BeautyBranch","BeautyBranchService","activate","POST /adminapi/beautyBranch/update/activate","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BeautySalon","BeautySalonService","list","GET /api/beautySalon/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BeautySalon","BeautySalonService","approve","POST /api/beautySalon/approve","","Body DTO or query id + mutable fields/status/action metadata.","","","",""
"BeautySalon","BeautySalonService","delete","DELETE /api/beautySalon/delete","","","","","",""
"BiddingForm","BiddingFormService","list","GET `${urlsApi.biddingForm.list}${convertParamsToString(params)}`","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
