"Method","Path","Service","Function","UrlKey","File"
"GET","/adminapi/approval/list","ApprovalService","list","approval.lst","src/services/ApprovalService.ts"
"POST","/adminapi/approval/update","ApprovalService","update","approval.update","src/services/ApprovalService.ts"
"DELETE","/adminapi/approval/delete","ApprovalService","delete","approval.delete","src/services/ApprovalService.ts"
"POST","/adminapi/approval/update/status","ApprovalService","updateStatus","approval.updateStatus","src/services/ApprovalService.ts"
"GET","/adminapi/approvalConfig/list","ApprovalService","lstConfig","approval.lstConfig","src/services/ApprovalService.ts"
"POST","/adminapi/approvalConfig/update","ApprovalService","updateConfig","approval.updateConfig","src/services/ApprovalService.ts"
"DELETE","/adminapi/approvalConfig/delete","ApprovalService","deleteConfig","approval.deleteConfig","src/services/ApprovalService.ts"
"GET","/adminapi/approvalLink/list","ApprovalService","lstLink","approval.lstLink","src/services/ApprovalService.ts"
"POST","/adminapi/approvalLink/update","ApprovalService","updateLink","approval.updateLink","src/services/ApprovalService.ts"
"DELETE","/adminapi/approvalLink/delete","ApprovalService","deleteLink","approval.deleteLink","src/services/ApprovalService.ts"
"GET","/adminapi/approvalObject/list","ApprovalService","lstObject","approval.lstObject","src/services/ApprovalService.ts"
"GET","/adminapi/approvalObject/get/object","ApprovalService","takeObject","approval.takeObject","src/services/ApprovalService.ts"
"GET","/adminapi/approvalObject/checkApproved","ApprovalService","checkApproved","approval.checkApproved","src/services/ApprovalService.ts"
"POST","/adminapi/approvalObject/update","ApprovalService","updateObject","approval.updateObject","src/services/ApprovalService.ts"
"DELETE","/adminapi/approvalObject/delete","ApprovalService","deleteObject","approval.deleteObject","src/services/ApprovalService.ts"
"GET","/adminapi/approvalLog/list","ApprovalService","lstLog","approval.lstLog","src/services/ApprovalService.ts"
"POST","/adminapi/approvalLog/update","ApprovalService","updateLog","approval.updateLog","src/services/ApprovalService.ts"
"DELETE","/adminapi/approvalLog/delete","ApprovalService","deleteLog","approval.deleteLog","src/services/ApprovalService.ts"
"POST","/adminapi/approval/update/alertConfig","ApprovalService","updateAlert","approval.updateAlert","src/services/ApprovalService.ts"
