Service,Function,Method,UrlRef,File
"AdjustmentsService","submit","POST","urlsApi.adjustments.submit","src/services/AdjustmentsService.ts"
"ApprovalService","checkApproved","GET","`${urlsApi.approval.checkApproved}${convertParamsToString(params)}`","src/services/ApprovalService.ts"
"ApprovalService","delete","DELETE","`${urlsApi.approval.delete}?id=${id}`","src/services/ApprovalService.ts"
"ApprovalService","deleteConfig","DELETE","`${urlsApi.approval.deleteConfig}?id=${id}`","src/services/ApprovalService.ts"
"ApprovalService","deleteLink","DELETE","`${urlsApi.approval.deleteLink}?id=${id}`","src/services/ApprovalService.ts"
"ApprovalService","deleteLog","DELETE","`${urlsApi.approval.deleteLog}?id=${id}`","src/services/ApprovalService.ts"
"ApprovalService","deleteObject","DELETE","`${urlsApi.approval.deleteObject}?id=${id}`","src/services/ApprovalService.ts"
"ApprovalService","list","GET","`${urlsApi.approval.lst}${convertParamsToString(params)}`","src/services/ApprovalService.ts"
"ApprovalService","lstConfig","GET","`${urlsApi.approval.lstConfig}${convertParamsToString(params)}`","src/services/ApprovalService.ts"
"ApprovalService","lstLink","GET","`${urlsApi.approval.lstLink}${convertParamsToString(params)}`","src/services/ApprovalService.ts"
"ApprovalService","lstLog","GET","`${urlsApi.approval.lstLog}${convertParamsToString(params)}`","src/services/ApprovalService.ts"
"ApprovalService","lstObject","GET","`${urlsApi.approval.lstObject}${convertParamsToString(params)}`","src/services/ApprovalService.ts"
"ApprovalService","takeObject","GET","`${urlsApi.approval.takeObject}${convertParamsToString(params)}`","src/services/ApprovalService.ts"
"ApprovalService","update","POST","urlsApi.approval.update","src/services/ApprovalService.ts"
"ApprovalService","updateAlert","POST","urlsApi.approval.updateAlert","src/services/ApprovalService.ts"
"ApprovalService","updateConfig","POST","urlsApi.approval.updateConfig","src/services/ApprovalService.ts"
"ApprovalService","updateLink","POST","urlsApi.approval.updateLink","src/services/ApprovalService.ts"
"ApprovalService","updateLog","POST","urlsApi.approval.updateLog","src/services/ApprovalService.ts"
"ApprovalService","updateObject","POST","urlsApi.approval.updateObject","src/services/ApprovalService.ts"
"ApprovalService","updateStatus","POST","urlsApi.approval.updateStatus","src/services/ApprovalService.ts"
"ApprovedObjectService","list","GET","`${urlsApi.approvedObjectLog.lst}${convertParamsToString(params)}`","src/services/ApprovedObjectService.ts"
"AreaService","list","GET","`${urlsApi.customer.area}${convertParamsToString(params)}`","src/services/AreaService.ts"
"ArtifactService","delete","DELETE","`${urlsApi.common.delete}?id=${id}`","src/services/ArtifactService.ts"
"ArtifactService","detail","GET","`${urlsApi.common.detail}?id=${id}`","src/services/ArtifactService.ts"
