Method,Url,Controller,Module,File
GET,/adminapi/group/list,GroupController,organization,/modules/organization/group/group.controller.ts
GET,/adminapi/group/get,GroupController,organization,/modules/organization/group/group.controller.ts
POST,/adminapi/group/update,GroupController,organization,/modules/organization/group/group.controller.ts
DELETE,/adminapi/group/delete,GroupController,organization,/modules/organization/group/group.controller.ts
GET,/adminapi/groupEmployee/list,GroupController,organization,/modules/organization/group/group.controller.ts
POST,/adminapi/groupEmployee/update,GroupController,organization,/modules/organization/group/group.controller.ts
DELETE,/adminapi/groupEmployee/delete,GroupController,organization,/modules/organization/group/group.controller.ts
GET,/adminapi/zaloOa/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
POST,/adminapi/zaloOa/update,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
DELETE,/adminapi/zaloOa/delete,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/zaloChat/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/zaloChat/get,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
POST,/adminapi/zaloChat/send,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/zaloFollower/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/znsTemplate/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
POST,/adminapi/znsTemplate/update,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
DELETE,/adminapi/znsTemplate/delete,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/objectAttribute/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
POST,/adminapi/objectAttribute/update,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
DELETE,/adminapi/objectAttribute/delete,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/objectAttribute/get,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/objectExtraInfo/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/objectFeature/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/objectGroup/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/userLogin/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/userLogin/daily/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/customer/dashboard/list,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/customer/dashboard/fields,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/customer/dashboard/getTotal,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/customer/dashboard/getTotal/detail,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/customer/dashboard/fetchData,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/customer/dashboard/externalOrnot,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/customer/dashboard/get,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
GET,/adminapi/customer/dashboard/relationShip,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
POST,/adminapi/customer/dashboard/update,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
DELETE,/adminapi/customer/dashboard/delete,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
POST,/adminapi/customer/assign,IntegrationController,organization,/modules/organization/integration/integration.controller.ts
