Method,Url,Service,Action,Module
GET,/api/beautySalon/list,BeautySalonService.ts,list,beautySalon
POST,/api/beautySalon/approve,BeautySalonService.ts,approve,beautySalon
DELETE,/api/beautySalon/delete,BeautySalonService.ts,delete,beautySalon
GET,/bpmapi/businessRule/list,BusinessRuleService.ts,list,businessRule
POST,/bpmapi/businessRule/update,BusinessRuleService.ts,update,businessRule
POST,/bpmapi/businessRule/updateActive,BusinessRuleService.ts,updateActive,businessRule
GET,/bpmapi/businessRule/detail,BusinessRuleService.ts,detail,businessRule
DELETE,/bpmapi/businessRule/delete,BusinessRuleService.ts,delete,businessRule
GET,/bpmapi/businessRuleItem/list,BusinessRuleItemService.ts,list,businessRuleItem
POST,/bpmapi/businessRuleItem/update,BusinessRuleItemService.ts,update,businessRuleItem
POST,/bpmapi/businessRuleItem/updateActive,BusinessRuleItemService.ts,updateActive,businessRuleItem
GET,/bpmapi/businessRuleItem/detail,BusinessRuleItemService.ts,detail,businessRuleItem
DELETE,/bpmapi/businessRuleItem/delete,BusinessRuleItemService.ts,delete,businessRuleItem
GET,/bpmapi/decisionTableInput/list,DecisionTableInputService.ts,list,decisionTableInput
POST,/bpmapi/decisionTableInput/update,DecisionTableInputService.ts,update,decisionTableInput
POST,/bpmapi/decisionTableInput/updateActive,DecisionTableInputService.ts,updateActive,decisionTableInput
GET,/bpmapi/decisionTableInput/detail,DecisionTableInputService.ts,detail,decisionTableInput
DELETE,/bpmapi/decisionTableInput/delete,DecisionTableInputService.ts,delete,decisionTableInput
GET,/bpmapi/decisionTableOutput/list,DecisionTableOutputService.ts,list,decisionTableOutput
POST,/bpmapi/decisionTableOutput/update,DecisionTableOutputService.ts,update,decisionTableOutput
POST,/bpmapi/decisionTableOutput/updateActive,DecisionTableOutputService.ts,updateActive,decisionTableOutput
GET,/bpmapi/decisionTableOutput/detail,DecisionTableOutputService.ts,detail,decisionTableOutput
DELETE,/bpmapi/decisionTableOutput/delete,DecisionTableOutputService.ts,delete,decisionTableOutput
POST,/authenticator/user/create,UserService.ts,create,user
POST,/authenticator/user/admin_update,UserService.ts,update,user
