Method,Url,Module,Priority
GET,/adminapi/api/v1/customer/classify/age,api,HIGH
GET,/adminapi/api/v1/customer/classify/campaignJoined,api,HIGH
GET,/adminapi/api/v1/customer/classify/custArea,api,HIGH
GET,/adminapi/api/v1/customer/classify/custCareer,api,HIGH
GET,/adminapi/api/v1/customer/classify/custGroup,api,HIGH
GET,/adminapi/api/v1/customer/classify/custSource,api,HIGH
GET,/adminapi/api/v1/customer/classify/custType,api,HIGH
GET,/adminapi/api/v1/customer/classify/customerCard,api,HIGH
GET,/adminapi/api/v1/customer/classify/gender,api,HIGH
GET,/adminapi/api/v1/customer/classify/identify,api,HIGH
GET,/adminapi/api/v1/customer/classify/interactTimes,api,HIGH
GET,/adminapi/api/v1/customer/classify/notInteractDay,api,HIGH
GET,/adminapi/api/v1/customer/classify/topBought,api,HIGH
GET,/adminapi/api/v1/customer/classify/topInteract,api,HIGH
GET,/adminapi/api/v1/customer/classify/topRevenue,api,HIGH
GET,/adminapi/api/v1/customer/classify/topValueInvoice,api,HIGH
GET,/adminapi/api/v1/score/action,api,HIGH
GET,/adminapi/api/v1/score/campaign,api,HIGH
POST,/adminapi/api/v1/score/insertMulti,api,HIGH
POST,/bpmapi/businessProcess/clone,businessProcess,HIGH
POST,/bpmapi/businessProcess/configNode/update,businessProcess,HIGH
DELETE,/bpmapi/businessProcess/delete,businessProcess,HIGH
GET,/bpmapi/businessProcess/detail,businessProcess,HIGH
GET,/bpmapi/businessProcess/exportExcel,businessProcess,HIGH
GET,/bpmapi/businessProcess/exportExcel/status,businessProcess,HIGH
GET,/bpmapi/businessProcess/get,businessProcess,HIGH
POST,/bpmapi/businessProcess/importExcel,businessProcess,HIGH
GET,/bpmapi/businessProcess/list,businessProcess,HIGH
DELETE,/bpmapi/businessProcess/node/delete,businessProcess,HIGH
POST,/bpmapi/businessProcess/update,businessProcess,HIGH
POST,/bpmapi/businessProcess/update/config,businessProcess,HIGH
POST,/bpmapi/businessProcess/update/sla,businessProcess,HIGH
POST,/bpmapi/businessProcess/updateConfig,businessProcess,HIGH
GET,/adminapi/invoice/card-service/top,invoice,HIGH
GET,/adminapi/invoice/city/top,invoice,HIGH
GET,/adminapi/invoice/code,invoice,HIGH
POST,/adminapi/invoice/create,invoice,HIGH
GET,/adminapi/invoice/debt,invoice,HIGH
GET,/adminapi/invoice/employee/top,invoice,HIGH
GET,/adminapi/invoice/get/sales,invoice,HIGH
GET,/adminapi/invoice/list/v2,invoice,HIGH
GET,/adminapi/invoice/product/top,invoice,HIGH
GET,/adminapi/invoice/service/top,invoice,HIGH
POST,/adminapi/invoice/update/temp,invoice,HIGH
GET,/adminapi/invoice/using/card,invoice,HIGH
POST,/adminapi/ma/config-node/update,ma,HIGH
GET,/adminapi/ma/config/get,ma,HIGH
POST,/adminapi/ma/config/update,ma,HIGH
GET,/adminapi/ma/customer/get,ma,HIGH
GET,/adminapi/ma/detail,ma,HIGH
DELETE,/adminapi/ma/node/delete,ma,HIGH
GET,/adminapi/ma/statistic/byDate,ma,HIGH
GET,/adminapi/ma/statistic/custCard,ma,HIGH
GET,/adminapi/ma/statistic/custCareer,ma,HIGH
GET,/adminapi/ma/statistic/custGroup,ma,HIGH
POST,/adminapi/ma/update-config,ma,HIGH
POST,/adminapi/ma/update/status,ma,HIGH
POST,/adminapi/bpmForm/reject,bpmForm,HIGH
POST,/bpmapi/bpmForm/activate,bpmForm,HIGH
GET,/bpmapi/bpmForm/draft,bpmForm,HIGH
GET,/bpmapi/bpmForm/get,bpmForm,HIGH
GET,/bpmapi/bpmForm/get/timer,bpmForm,HIGH
GET,/bpmapi/bpmForm/init,bpmForm,HIGH
GET,/bpmapi/bpmForm/list/global,bpmForm,HIGH
GET,/bpmapi/bpmForm/list/mapping,bpmForm,HIGH
POST,/bpmapi/bpmForm/update/timer,bpmForm,HIGH
POST,/bpmapi/bpmForm/update/type,bpmForm,HIGH
GET,/adminapi/campaignOpportunity/check,campaignOpportunity,HIGH
GET,/adminapi/campaignOpportunity/exportAction,campaignOpportunity,HIGH
GET,/adminapi/campaignOpportunity/exportCustomer,campaignOpportunity,HIGH
GET,/adminapi/campaignOpportunity/exportResult,campaignOpportunity,HIGH
GET,/adminapi/campaignOpportunity/statisticConvertRate,campaignOpportunity,HIGH
GET,/adminapi/campaignOpportunity/total/dashboard/detail,campaignOpportunity,HIGH
GET,/adminapi/campaignOpportunity/totalByApproach/dashboard,campaignOpportunity,HIGH
GET,/adminapi/campaignOpportunity/totalByDate/dashboard,campaignOpportunity,HIGH
GET,/adminapi/campaignOpportunity/totalExpectedRevenue/dashboard,campaignOpportunity,HIGH
GET,/adminapi/campaignOpportunity/totalExpectedRevenue/dashboard/detail,campaignOpportunity,HIGH
GET,/adminapi/bpm/list/eform,bpm,HIGH
DELETE,/bpmapi/bpm/deleteReason,bpm,HIGH
GET,/bpmapi/bpm/exec/list/node,bpm,HIGH
GET,/bpmapi/bpm/getReason,bpm,HIGH
GET,/bpmapi/bpm/listReason,bpm,HIGH
GET,/bpmapi/bpm/process,bpm,HIGH
GET,/bpmapi/bpm/start,bpm,HIGH
POST,/bpmapi/bpm/updateReason,bpm,HIGH
POST,/bpmapi/bpm/updateReason/active,bpm,HIGH
POST,/api/orgApp/add,orgApp,HIGH
GET,/api/orgApp/calc/priceRemaining,orgApp,HIGH
GET,/api/orgApp/extend,orgApp,HIGH
GET,/api/orgApp/list,orgApp,HIGH
GET,/api/orgApp/list/all,orgApp,HIGH
GET,/api/orgApp/payment/verify,orgApp,HIGH
POST,/api/orgApp/update/bill,orgApp,HIGH
GET,/api/orgApp/upgrade,orgApp,HIGH
DELETE,/bpmapi/bpmConfigLinkNode/delete,bpmConfigLinkNode,HIGH
GET,/bpmapi/bpmConfigLinkNode/get,bpmConfigLinkNode,HIGH
GET,/bpmapi/bpmConfigLinkNode/list,bpmConfigLinkNode,HIGH
GET,/bpmapi/bpmConfigLinkNode/list/children,bpmConfigLinkNode,HIGH
GET,/bpmapi/bpmConfigLinkNode/list/from,bpmConfigLinkNode,HIGH
POST,/bpmapi/bpmConfigLinkNode/update,bpmConfigLinkNode,HIGH
POST,/bpmapi/bpmConfigLinkNode/update/config,bpmConfigLinkNode,HIGH
POST,/bpmapi/bpmConfigLinkNode/update/name,bpmConfigLinkNode,HIGH
DELETE,/bpmapi/bpmConfigNode/delete,bpmConfigNode,HIGH
GET,/bpmapi/bpmConfigNode/get,bpmConfigNode,HIGH
GET,/bpmapi/bpmConfigNode/list,bpmConfigNode,HIGH
GET,/bpmapi/bpmConfigNode/list/children,bpmConfigNode,HIGH
GET,/bpmapi/bpmConfigNode/list/compensation,bpmConfigNode,HIGH
GET,/bpmapi/bpmConfigNode/list/history,bpmConfigNode,HIGH
POST,/bpmapi/bpmConfigNode/update,bpmConfigNode,HIGH
POST,/bpmapi/bpmConfigNode/update/name,bpmConfigNode,HIGH
POST,/adminapi/fs/clone,fs,HIGH
DELETE,/adminapi/fs/delete,fs,HIGH
GET,/adminapi/fs/get,fs,HIGH
GET,/adminapi/fs/list,fs,HIGH
POST,/adminapi/fs/update,fs,HIGH
POST,/adminapi/fs/update-and-init,fs,HIGH
POST,/adminapi/fs/update/status,fs,HIGH
DELETE,/adminapi/order-request/delete-soft,order-request,HIGH
GET,/adminapi/order-request/export,order-request,HIGH
GET,/adminapi/order-request/get,order-request,HIGH
GET,/adminapi/order-request/list,order-request,HIGH
GET,/adminapi/order-request/list-one,order-request,HIGH
POST,/adminapi/order-request/update,order-request,HIGH
POST,/adminapi/order-request/update-and-init,order-request,HIGH
GET,/bpmapi/objectAttribute/checkDuplicated,objectAttribute,HIGH
DELETE,/bpmapi/objectAttribute/delete,objectAttribute,HIGH
GET,/bpmapi/objectAttribute/get,objectAttribute,HIGH
GET,/bpmapi/objectAttribute/list,objectAttribute,HIGH
GET,/bpmapi/objectAttribute/listAll,objectAttribute,HIGH
POST,/bpmapi/objectAttribute/update,objectAttribute,HIGH
POST,/bpmapi/objectAttribute/update/position,objectAttribute,HIGH
GET,/adminapi/contractAttribute/checkDuplicated,contractAttribute,HIGH
DELETE,/adminapi/contractAttribute/delete,contractAttribute,HIGH
GET,/adminapi/contractAttribute/list,contractAttribute,HIGH
GET,/adminapi/contractAttribute/listAll,contractAttribute,HIGH
GET,/adminapi/contractAttribute/listFilter,contractAttribute,HIGH
POST,/adminapi/contractAttribute/update,contractAttribute,HIGH
GET,/adminapi/eformAttribute/checkDuplicated,eformAttribute,HIGH
DELETE,/adminapi/eformAttribute/delete,eformAttribute,HIGH
GET,/adminapi/eformAttribute/get,eformAttribute,HIGH
GET,/adminapi/eformAttribute/list,eformAttribute,HIGH
GET,/adminapi/eformAttribute/listAll,eformAttribute,HIGH
POST,/adminapi/eformAttribute/update,eformAttribute,HIGH
POST,/adminapi/emailRequest/approve,emailRequest,HIGH
POST,/adminapi/emailRequest/cancel,emailRequest,HIGH
DELETE,/adminapi/emailRequest/delete,emailRequest,HIGH
GET,/adminapi/emailRequest/get,emailRequest,HIGH
GET,/adminapi/emailRequest/list,emailRequest,HIGH
POST,/adminapi/emailRequest/update,emailRequest,HIGH
GET,/adminapi/guarantee/export/attributes,guarantee,HIGH
GET,/adminapi/guarantee/export/randomGuarantees,guarantee,HIGH
POST,/adminapi/guarantee/import,guarantee,HIGH
POST,/adminapi/guarantee/import/autoProcess,guarantee,HIGH
GET,/adminapi/guarantee/placeholder,guarantee,HIGH
GET,/adminapi/guarantee/statistical,guarantee,HIGH
DELETE,/adminapi/requestPermission/delete,requestPermission,HIGH
GET,/adminapi/requestPermission/list/source,requestPermission,HIGH
GET,/adminapi/requestPermission/list/target,requestPermission,HIGH
POST,/adminapi/requestPermission/update,requestPermission,HIGH
POST,/adminapi/requestPermission/update/approved ,requestPermission,HIGH
POST,/adminapi/requestPermission/update/rejected ,requestPermission,HIGH
POST,/adminapi/smsRequest/approve,smsRequest,HIGH
POST,/adminapi/smsRequest/cancel,smsRequest,HIGH
DELETE,/adminapi/smsRequest/delete,smsRequest,HIGH
GET,/adminapi/smsRequest/get,smsRequest,HIGH
GET,/adminapi/smsRequest/list,smsRequest,HIGH
POST,/adminapi/smsRequest/update,smsRequest,HIGH
GET,/adminapi/workOrder/report,workOrder,HIGH
GET,/bpmapi/workOrder/list/pause,workOrder,HIGH
GET,/bpmapi/workOrder/recall,workOrder,HIGH
GET,/bpmapi/workOrder/recall/checkResult,workOrder,HIGH
GET,/bpmapi/workOrder/recall/confirm,workOrder,HIGH
POST,/bpmapi/workOrder/update/continue,workOrder,HIGH
POST,/bpmapi/processedObject/clone,processedObject,HIGH
DELETE,/bpmapi/processedObject/delete,processedObject,HIGH
